          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    2.540    11    11    11.0    110  21331 |   10  2541    0.0034    0.0003    0.0000 |
    2.550    11    11    11.0    110  21441 |   10  2551    0.0033    0.0003    0.0000 |
    2.560    11    11    11.0    110  21551 |   10  2561    0.0035    0.0003    0.0000 |
    2.570    11    11    11.0    110  21661 |   10  2571    0.0032    0.0003    0.0000 |
    2.580    11    11    11.0    110  21771 |   10  2581    0.0034    0.0003    0.0000 |
    2.590    11    11    11.0    110  21881 |   10  2591    0.0036    0.0004    0.0000 |
    2.600    11    11    11.0    110  21991 |   10  2601    0.0035    0.0003    0.0000 |
    2.610    10    10    10.0    100  22091 |   10  2611    0.0032    0.0003    0.0000 |
    2.620    10    10    10.0    100  22191 |   10  2621    0.0030    0.0003    0.0000 |
    2.630    10    10    10.0    100  22291 |   10  2631    0.0032    0.0003    0.0000 |
    2.640    10    10    10.0    100  22391 |   10  2641    0.0033    0.0003    0.0000 |
    2.650    10    10    10.0    100  22491 |   10  2651    0.0035    0.0003    0.0000 |
    2.660    10    10    10.0    100  22591 |   10  2661    0.0032    0.0003    0.0000 |
    2.670    10    10    10.0    100  22691 |   10  2671    0.0033    0.0003    0.0000 |
    2.680    10    10    10.0    100  22791 |   10  2681    0.0032    0.0003    0.0000 |
    2.690    10    10    10.0    100  22891 |   10  2691    0.0032    0.0003    0.0000 |
    2.700    10    10    10.0    100  22991 |   10  2701    0.0031    0.0003    0.0000 |
    2.710    10    10    10.0    100  23091 |   10  2711    0.0033    0.0003    0.0000 |
    2.720    10    10    10.0    100  23191 |   10  2721    0.0032    0.0003    0.0000 |
    2.730    10    10    10.0    100  23291 |   10  2731    0.0033    0.0003    0.0000 |
    2.740    10    10    10.0    100  23391 |   10  2741    0.0033    0.0003    0.0000 |
    2.750    10    10    10.0    100  23491 |   10  2751    0.0032    0.0003    0.0000 |
    2.760    10    10    10.0    100  23591 |   10  2761    0.0033    0.0003    0.0000 |
    2.770    10    10    10.0    100  23691 |   10  2771    0.0031    0.0003    0.0000 |
    2.780    10    10    10.0    100  23791 |   10  2781    0.0033    0.0003    0.0000 |
    2.790    10    10    10.0    100  23891 |   10  2791    0.0030    0.0003    0.0000 |
    2.800    10    10    10.0    100  23991 |   10  2801    0.0035    0.0004    0.0000 |
    2.810    10    10    10.0    100  24091 |   10  2811    0.0031    0.0003    0.0000 |
    2.820    10    10    10.0    100  24191 |   10  2821    0.0033    0.0003    0.0000 |
    2.830    10    10    10.0    100  24291 |   10  2831    0.0033    0.0003    0.0000 |
    2.840    10    10    10.0    100  24391 |   10  2841    0.0036    0.0004    0.0000 |
    2.850    10    10    10.0    100  24491 |   10  2851    0.0031    0.0003    0.0000 |
    2.860    10    10    10.0    100  24591 |   10  2861    0.0031    0.0003    0.0000 |
    2.870    10    10    10.0    100  24691 |   10  2871    0.0032    0.0003    0.0000 |
    2.880    10    10    10.0    100  24791 |   10  2881    0.0032    0.0003    0.0000 |
    2.890    10    10    10.0    100  24891 |   10  2891    0.0032    0.0003    0.0000 |
    2.900    10    10    10.0    100  24991 |   10  2901    0.0030    0.0003    0.0000 |
    2.910    10    10    10.0    100  25091 |   10  2911    0.0032    0.0003    0.0000 |
    2.920    10    10    10.0    100  25191 |   10  2921    0.0033    0.0003    0.0000 |
    2.930    10    10    10.0    100  25291 |   10  2931    0.0033    0.0003    0.0000 |
    2.940    10    10    10.0    100  25391 |   10  2941    0.0031    0.0003    0.0000 |
    2.950    10    10    10.0    100  25491 |   10  2951    0.0032    0.0003    0.0000 |
    2.960    10    10    10.0    100  25591 |   10  2961    0.0031    0.0003    0.0000 |
    2.970    10    10    10.0    100  25691 |   10  2971    0.0032    0.0003    0.0000 |
    2.980    10    10    10.0    100  25791 |   10  2981    0.0032    0.0003    0.0000 |
    2.990    10    10    10.0    100  25891 |   10  2991    0.0033    0.0003    0.0000 |
    3.000    10    10    10.0    100  25991 |   10  3001    0.0034    0.0003    0.0000 |
    3.010    10    10    10.0    100  26091 |   10  3011    0.0034    0.0003    0.0000 |
    3.020    10    10    10.0    100  26191 |   10  3021    0.0032    0.0003    0.0000 |
    3.030    10    10    10.0    100  26291 |   10  3031    0.0034    0.0003    0.0000 |
    3.040    10    10    10.0    100  26391 |   10  3041    0.0031    0.0003    0.0000 |
    3.050    10    10    10.0    100  26491 |   10  3051    0.0031    0.0003    0.0000 |
    3.060    10    10    10.0    100  26591 |   10  3061    0.0033    0.0003    0.0000 |
    3.070    10    10    10.0    100  26691 |   10  3071    0.0032    0.0003    0.0000 |
    3.080    10    10    10.0    100  26791 |   10  3081    0.0033    0.0003    0.0000 |
    3.090    10    10    10.0    100  26891 |   10  3091    0.0032    0.0003    0.0000 |
    3.100    10    10    10.0    100  26991 |   10  3101    0.0033    0.0003    0.0000 |
    3.110    10    10    10.0    100  27091 |   10  3111    0.0033    0.0003    0.0000 |
    3.120    10    10    10.0    100  27191 |   10  3121    0.0037    0.0004    0.0000 |
    3.130    10    10    10.0    100  27291 |   10  3131    0.0035    0.0003    0.0000 |
    3.140    10    10    10.0    100  27391 |   10  3141    0.0031    0.0003    0.0000 |
    3.150    10    10    10.0    100  27491 |   10  3151    0.0031    0.0003    0.0000 |
